seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6133,0.2834,0.3656,0.3522,0.3613,0.3656,0.5171
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6246,0.2831,0.3700,0.3544,0.3656,0.3700,0.5219
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6270,0.2831,0.3747,0.3611,0.3704,0.3747,0.5272
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6195,0.2857,0.3649,0.3522,0.3601,0.3649,0.5185
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6228,0.2865,0.3675,0.3513,0.3631,0.3675,0.5193
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6243,0.2837,0.3717,0.3535,0.3674,0.3717,0.5208
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6058,0.2825,0.3582,0.3453,0.3534,0.3582,0.5112
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6195,0.2830,0.3643,0.3496,0.3595,0.3643,0.5171
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6106,0.2900,0.3600,0.3465,0.3553,0.3600,0.5125
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.5892,0.2770,0.3604,0.3436,0.3558,0.3604,0.5085
