seed:0, lambda1:1.0, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6213,0.3171,0.3711,0.3743,0.3659,0.3711,0.5467
seed:0, lambda1:1.0, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6192,0.3096,0.3704,0.3729,0.3652,0.3704,0.5464
seed:0, lambda1:1.0, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6302,0.3231,0.3721,0.3859,0.3670,0.3721,0.5571
seed:0, lambda1:1.0, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.5781,0.2975,0.3610,0.3696,0.3558,0.3610,0.5368
seed:0, lambda1:1.0, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6234,0.3122,0.3700,0.3758,0.3649,0.3700,0.5499
seed:0, lambda1:1.0, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6183,0.3133,0.3707,0.3731,0.3655,0.3707,0.5428
seed:0, lambda1:1.0, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6469,0.3166,0.3885,0.3835,0.3837,0.3885,0.5596
seed:0, lambda1:1.0, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6460,0.3286,0.3918,0.3848,0.3868,0.3918,0.5586
seed:0, lambda1:1.0, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6249,0.3296,0.3666,0.3759,0.3615,0.3666,0.5526
seed:0, lambda1:1.0, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6189,0.3095,0.3678,0.3766,0.3627,0.3678,0.5494
